date,open,close,high_max,low_min
2020-04-07,303.27,303.45,305.13,298.015
2020-04-10,207.66,205.39,208.5933,201.72
2020-04-13,205.87,207.0,208.07,205.14
2020-04-16,293.78999999999996,293.78999999999996,299.575,291.41499999999996
2020-04-19,93.9,96.43,98.08,93.44
2020-04-22,298.94,296.09,301.0,294.45
2020-04-25,99.97,98.45,100.14,95.78
2020-04-28,298.94,297.21000000000004,303.61,294.8162
2020-05-01,197.85,201.48000000000002,201.51,191.08999999999997
2020-05-04,189.7,189.54000000000002,194.3,189.34
2020-05-07,296.91485475084477,294.21758190703093,298.69749556447897,293.54532733815967
2020-05-10,99.62,98.43,100.03,99.04
2020-05-13,295.27,295.86,297.44,290.25
2020-05-16,97.0,96.99,98.05,95.72
2020-05-19,292.99,291.21,295.23,289.08000000000004
2020-05-22,194.45,195.8,195.46,193.075
2020-05-25,192.42000000000002,191.93,195.35,191.20999999999998
2020-05-28,294.65,295.57,298.53000000000003,293.3307
2020-05-31,96.96,98.43,98.4,96.89
2020-06-03,289.85,290.45,292.25,288.25149999999996
2020-06-06,96.89,96.82,97.65,96.3
2020-06-09,293.09,293.27,298.48,291.64
2020-06-12,201.64,201.39,203.09,199.92000000000002
2020-06-15,209.32,207.26999999999998,214.1599,207.26
2020-06-18,317.14,316.86,319.65999999999997,314.03999999999996
2020-06-21,106.5,106.43,106.5,105.115
2020-06-24,321.71,321.02,325.43,320.16999999999996
2020-06-27,108.025,108.01,109.765,107.77
2020-06-30,333.92,333.09,336.37,332.28000000000003
2020-07-03,223.0,222.12869018528,225.47,221.07
2020-07-06,224.14,224.18,227.42000000000002,222.97
2020-07-09,344.82,344.49,348.06,336.71
2020-07-12,112.22724375399851,113.11078408240613,114.6494517910297,110.83768139269456
2020-07-15,340.1,340.02,348.24699999999996,337.34749999999997
2020-07-18,116.76,114.79,119.25,116.42
2020-07-21,356.44,356.55,360.08500000000004,355.595
2020-07-24,233.32,234.95,236.38,230.435
2020-07-27,226.05,228.03,242.04000000000002,224.58999999999997
2020-07-30,380.30999999999995,368.73,383.68,370.83
2020-08-02,125.16,124.23,126.19,123.885
2020-08-05,378.17,376.21,382.11,374.4347
2020-08-08,124.35,126.64,126.8,123.59
2020-08-11,384.31,382.20000000000005,389.35,381.9654
2020-08-14,260.39,259.77,262.1189,258.8354
