date,HD,MCD,NKE
2020-10-09 00:00:00+00:00,284.52,225.8,129.71
2020-10-12 00:00:00+00:00,285.92,224.83,130.98
2020-10-13 00:00:00+00:00,286.91,226.11,129.46
2020-10-14 00:00:00+00:00,290.36,227.35,129.2
2020-10-15 00:00:00+00:00,287.09,227.62,127.66
2020-10-16 00:00:00+00:00,287.54,229.64,129.0
2020-10-19 00:00:00+00:00,283.74,226.035,127.395
2020-10-20 00:00:00+00:00,285.925,227.58,128.51
2020-10-21 00:00:00+00:00,286.04,227.45,128.49
2020-10-22 00:00:00+00:00,284.51,228.19,129.43
2020-10-23 00:00:00+00:00,281.16,229.15,130.02
2020-10-26 00:00:00+00:00,283.0,228.71,129.99
2020-10-27 00:00:00+00:00,277.01,222.905,128.37
2020-10-28 00:00:00+00:00,269.72,214.63,121.88
2020-10-29 00:00:00+00:00,269.72,214.69,122.08
2020-10-30 00:00:00+00:00,269.63,214.95,122.86
2020-11-02 00:00:00+00:00,266.71,213.0,120.08
2020-11-03 00:00:00+00:00,270.74,212.56,122.39
2020-11-04 00:00:00+00:00,277.37,216.8,124.59
2020-11-05 00:00:00+00:00,282.72,214.87,127.34
2020-11-06 00:00:00+00:00,285.85,216.31,129.7
2020-11-09 00:00:00+00:00,284.24,216.56,128.9
2020-11-10 00:00:00+00:00,269.97,213.22,128.95
2020-11-11 00:00:00+00:00,275.57,213.32,127.71
2020-11-12 00:00:00+00:00,277.75,218.02,127.66
2020-11-13 00:00:00+00:00,276.24,213.07,126.64
2020-11-16 00:00:00+00:00,277.17,213.28,128.28
2020-11-17 00:00:00+00:00,279.57,216.73,130.11
2020-11-18 00:00:00+00:00,272.47,216.01,132.21
2020-11-19 00:00:00+00:00,269.83,215.52,131.63
2020-11-20 00:00:00+00:00,270.93,215.11,131.91
2020-11-23 00:00:00+00:00,269.81,214.09,132.98
2020-11-24 00:00:00+00:00,271.4,217.0,134.13
2020-11-25 00:00:00+00:00,273.31,219.71,134.7
2020-11-26 00:00:00+00:00,274.50042889782384,219.12500806489032,134.56466764828528
2020-11-27 00:00:00+00:00,273.96,219.34,135.54
2020-11-30 00:00:00+00:00,275.99,217.04235907283,134.25
2020-12-01 00:00:00+00:00,277.41,217.44,134.7
2020-12-02 00:00:00+00:00,275.07798972854,216.14,135.44
2020-12-03 00:00:00+00:00,271.1,210.86,135.58
2020-12-04 00:00:00+00:00,268.14,211.51,136.68601025716
2020-12-07 00:00:00+00:00,263.99,210.74,137.19
2020-12-08 00:00:00+00:00,262.64,208.89,138.75
2020-12-09 00:00:00+00:00,261.72,208.39,139.12
2020-12-10 00:00:00+00:00,265.58,208.69,138.79
2020-12-11 00:00:00+00:00,264.81,208.04,137.58
2020-12-14 00:00:00+00:00,264.55,207.76,137.41
2020-12-15 00:00:00+00:00,265.58,211.92,136.28
2020-12-16 00:00:00+00:00,267.98,214.86,139.39
2020-12-17 00:00:00+00:00,269.59,213.8,138.34
2020-12-18 00:00:00+00:00,273.97,214.25,140.5
2020-12-21 00:00:00+00:00,270.45,215.08,137.28
2020-12-22 00:00:00+00:00,270.99,211.67,144.02
2020-12-23 00:00:00+00:00,270.04,211.92,142.45
2020-12-24 00:00:00+00:00,269.81,212.02,141.76
2020-12-25 00:00:00+00:00,270.30616168581645,212.04660229149246,141.89965664681083
2020-12-28 00:00:00+00:00,270.92,211.39,141.6
2020-12-29 00:00:00+00:00,269.25,214.02,142.43
2020-12-30 00:00:00+00:00,266.19,212.71,141.57
2020-12-31 00:00:00+00:00,265.26,211.56,141.58
2021-01-01 00:00:00+00:00,265.5614636743878,212.7008304918972,141.15502991920584
2021-01-04 00:00:00+00:00,265.62,214.58,141.47
2021-01-05 00:00:00+00:00,263.92,210.22,140.1
2021-01-06 00:00:00+00:00,266.05,211.48,141.23
2021-01-07 00:00:00+00:00,267.57,211.0,142.35
2021-01-08 00:00:00+00:00,266.26,211.98,144.95
2021-01-11 00:00:00+00:00,269.09,215.87,146.35
2021-01-12 00:00:00+00:00,271.23,214.23,147.05
2021-01-13 00:00:00+00:00,276.33,211.6,145.05
2021-01-14 00:00:00+00:00,274.05,212.09,143.04
2021-01-15 00:00:00+00:00,268.34,208.5,141.3
2021-01-18 00:00:00+00:00,271.12132590744966,208.37717028393143,139.58937267297824
2021-01-19 00:00:00+00:00,275.59,209.91,140.72
2021-01-20 00:00:00+00:00,273.19,209.09,139.27
2021-01-21 00:00:00+00:00,274.3,213.63,142.8
2021-01-22 00:00:00+00:00,279.05,213.53,141.61
2021-01-25 00:00:00+00:00,284.0,213.38,139.35
2021-01-26 00:00:00+00:00,285.08,213.34,137.55
2021-01-27 00:00:00+00:00,282.6,215.38,135.1
2021-01-28 00:00:00+00:00,274.05,207.0,131.02
2021-01-29 00:00:00+00:00,278.05,206.82,134.72
2021-02-01 00:00:00+00:00,270.82,207.84,133.59
2021-02-02 00:00:00+00:00,270.07,207.93,135.71
2021-02-03 00:00:00+00:00,272.16,209.76,139.59
2021-02-04 00:00:00+00:00,274.17,208.71,138.63
2021-02-05 00:00:00+00:00,278.82,211.03,140.63
2021-02-08 00:00:00+00:00,278.86,212.58,145.11
2021-02-09 00:00:00+00:00,280.03,211.58,143.41
2021-02-10 00:00:00+00:00,276.77,215.98,141.79
2021-02-11 00:00:00+00:00,278.69,214.4,142.46
2021-02-12 00:00:00+00:00,277.06,214.27,143.54
2021-02-15 00:00:00+00:00,276.7302327940622,214.79345399922832,141.65105951699815
2021-02-16 00:00:00+00:00,277.51,213.9,142.12
2021-02-17 00:00:00+00:00,275.39,215.03,141.71
2021-02-18 00:00:00+00:00,280.92,213.45,143.99
2021-02-19 00:00:00+00:00,283.05,215.43,145.09
2021-02-22 00:00:00+00:00,279.64,212.24,142.02
2021-02-23 00:00:00+00:00,275.85,212.06,136.67
2021-02-24 00:00:00+00:00,267.24,211.32,136.13
2021-02-25 00:00:00+00:00,259.97,213.27,135.65
2021-02-26 00:00:00+00:00,255.25,209.63810924167,135.26401243938
2021-03-01 00:00:00+00:00,258.34,206.14,134.78
2021-03-02 00:00:00+00:00,261.62,208.25,137.65
2021-03-03 00:00:00+00:00,260.29,208.67,137.02
2021-03-04 00:00:00+00:00,257.36,205.82,134.26
2021-03-05 00:00:00+00:00,250.93,204.84,132.04
2021-03-08 00:00:00+00:00,253.52,207.37,133.35
2021-03-09 00:00:00+00:00,259.03,209.11,134.56
2021-03-10 00:00:00+00:00,264.96,208.55,135.95
2021-03-11 00:00:00+00:00,268.86,211.61,141.19
2021-03-12 00:00:00+00:00,273.01,212.365,140.48
2021-03-15 00:00:00+00:00,273.1,212.34,140.45
2021-03-16 00:00:00+00:00,278.54,220.46,144.94
2021-03-17 00:00:00+00:00,282.08,219.86,144.65
2021-03-18 00:00:00+00:00,280.03,224.11,144.82
2021-03-19 00:00:00+00:00,283.16,222.9,143.17
2021-03-22 00:00:00+00:00,289.1,222.44,137.49
2021-03-23 00:00:00+00:00,288.94,225.07,138.27
2021-03-24 00:00:00+00:00,289.98,224.37,137.12
2021-03-25 00:00:00+00:00,292.75,224.05,133.16
2021-03-26 00:00:00+00:00,297.18,224.2,128.64
2021-03-29 00:00:00+00:00,303.81,225.21,132.99
2021-03-30 00:00:00+00:00,304.51,224.86,132.89
2021-03-31 00:00:00+00:00,304.82,224.03,133.01
2021-04-01 00:00:00+00:00,305.25,224.14,132.89
2021-04-02 00:00:00+00:00,304.398244946978,225.3291256971941,132.94124763545994
2021-04-05 00:00:00+00:00,307.75,225.21,132.53
2021-04-06 00:00:00+00:00,315.4,228.85,135.12
2021-04-07 00:00:00+00:00,313.78,231.91,137.16
2021-04-08 00:00:00+00:00,312.47,232.61,136.54
2021-04-09 00:00:00+00:00,314.43,230.25,133.68
2021-04-12 00:00:00+00:00,319.23,231.48,135.45
2021-04-13 00:00:00+00:00,320.79,230.96,136.64
2021-04-14 00:00:00+00:00,320.4,231.32,133.54
2021-04-15 00:00:00+00:00,320.02,230.31,132.26
2021-04-16 00:00:00+00:00,322.74,231.28,133.67
2021-04-19 00:00:00+00:00,328.08,233.08,134.31
2021-04-20 00:00:00+00:00,326.85,231.81,132.57
2021-04-21 00:00:00+00:00,323.96,233.01,127.11
2021-04-22 00:00:00+00:00,325.95,232.26,129.9
2021-04-23 00:00:00+00:00,321.46,232.96,129.18
2021-04-26 00:00:00+00:00,323.89,234.58,130.19
2021-04-27 00:00:00+00:00,319.99,232.31,131.6
2021-04-28 00:00:00+00:00,320.59,234.98,132.11
2021-04-29 00:00:00+00:00,319.71,232.41,130.71
2021-04-30 00:00:00+00:00,325.34,235.21,133.26
2021-05-03 00:00:00+00:00,323.67,236.08,132.62
2021-05-04 00:00:00+00:00,330.27,235.56,133.03
2021-05-05 00:00:00+00:00,332.77,233.86,131.55
2021-05-06 00:00:00+00:00,332.05,235.04,132.21
2021-05-07 00:00:00+00:00,337.58,234.86,133.49
2021-05-10 00:00:00+00:00,339.25,234.84,137.81
2021-05-11 00:00:00+00:00,341.12,237.11,136.4
2021-05-12 00:00:00+00:00,330.66,233.86,137.12
2021-05-13 00:00:00+00:00,317.0,227.94,133.39
2021-05-14 00:00:00+00:00,325.42,229.77,133.61
2021-05-17 00:00:00+00:00,323.63,231.72,135.93
2021-05-18 00:00:00+00:00,320.01,231.68,136.41
2021-05-19 00:00:00+00:00,316.75,231.93,135.56
2021-05-20 00:00:00+00:00,314.45,230.15,132.96
2021-05-21 00:00:00+00:00,315.9,232.18,133.27
2021-05-24 00:00:00+00:00,315.77,231.24,132.66
2021-05-25 00:00:00+00:00,314.84,231.91,134.06
2021-05-26 00:00:00+00:00,316.75,232.14,134.32
2021-05-27 00:00:00+00:00,317.33,232.35,136.89
2021-05-28 00:00:00+00:00,318.77,234.86,136.56
2021-05-31 00:00:00+00:00,318.4529601540274,233.76090892309375,135.48664707900815
2021-06-01 00:00:00+00:00,318.91,233.89,136.46
2021-06-02 00:00:00+00:00,316.31,233.24,134.51
2021-06-03 00:00:00+00:00,313.23,233.78,134.17
2021-06-04 00:00:00+00:00,311.43,232.45,134.17
2021-06-07 00:00:00+00:00,311.01,233.38,133.74
2021-06-08 00:00:00+00:00,309.96,231.69,133.95
2021-06-09 00:00:00+00:00,310.9,232.64,133.35
2021-06-10 00:00:00+00:00,307.34,231.47,131.84
2021-06-11 00:00:00+00:00,308.31,234.59,130.98
2021-06-14 00:00:00+00:00,310.77,236.93,131.94
2021-06-15 00:00:00+00:00,309.32,236.98,131.36
2021-06-16 00:00:00+00:00,306.45,236.35,130.29
2021-06-17 00:00:00+00:00,302.78,235.58,130.4
2021-06-18 00:00:00+00:00,303.12,233.88,128.92
2021-06-21 00:00:00+00:00,302.61,229.62,128.41
2021-06-22 00:00:00+00:00,307.6,232.9,130.08
2021-06-23 00:00:00+00:00,312.71,233.88,132.48
2021-06-24 00:00:00+00:00,311.67,233.24,133.1
2021-06-25 00:00:00+00:00,311.84,233.33,133.6
2021-06-28 00:00:00+00:00,313.63,232.42,154.35
2021-06-29 00:00:00+00:00,314.28,231.09,152.36
2021-06-30 00:00:00+00:00,318.24,230.37,155.95
